/home/pi/Videos/UNISON SQUARE GARDEN/【1日限定公開】UNISON SQUARE GARDEN「Catch up, latency」 - YouTube.mp4	UNISON SQUARE GARDEN	-	【1日限定公開】UNISON SQUARE GARDEN「Catch up, latency」 - YouTube.mp4	70
/home/pi/Videos/UNISON SQUARE GARDEN/UNISON SQUARE GARDEN「プログラムcontinued(15th style)」Music Video.mp4	UNISON SQUARE GARDEN	-	UNISON SQUARE GARDEN「プログラムcontinued(15th style)」Music Video.mp4	70
/home/pi/Videos/UNISON SQUARE GARDEN/Usg Coast.m4v	UNISON SQUARE GARDEN	-	Usg Coast.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/Usg Invisible Sensation.m4v	UNISON SQUARE GARDEN	-	Usg Invisible Sensation.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/Usg Invisible Sensation2.m4v	UNISON SQUARE GARDEN	-	Usg Invisible Sensation2.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/Usg Invisible Sensation3.m4v	UNISON SQUARE GARDEN	-	Usg Invisible Sensation3.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/Usg Invisible Sensation4.m4v	UNISON SQUARE GARDEN	-	Usg Invisible Sensation4.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/Usg Que.m4v	UNISON SQUARE GARDEN	-	Usg Que.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/USG_fun_time_724_1.m4v	UNISON SQUARE GARDEN	-	USG_fun_time_724_1.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/USG_fun_time_724_2.m4v	UNISON SQUARE GARDEN	-	USG_fun_time_724_2.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/Usg20180307Dvd.m4v	UNISON SQUARE GARDEN	-	Usg20180307Dvd.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/オリオンをなぞる.m4v	UNISON SQUARE GARDEN	-	オリオンをなぞる.m4v	70
/home/pi/Videos/UNISON SQUARE GARDEN/シュガーソングとビターステップ.m4v	UNISON SQUARE GARDEN	-	シュガーソングとビターステップ.m4v	70
/home/pi/Videos/YmckDVD.MP4	-	-	YmckDVD.MP4	70
/home/pi/Videos/宇宙の大きさを体感できる動画（Mitaka 版.mp4	-	-	宇宙の大きさを体感できる動画（Mitaka 版.mp4	70
/home/pi/Videos/坂口有望/坂口有望 「地球-まる-」 Music Video - YouTube.mp4	坂口有望	-	坂口有望 「地球-まる-」 Music Video - YouTube.mp4	70
/home/pi/Videos/坂口有望/坂口有望 『好-じょし-』Music Video - YouTube.mp4	坂口有望	-	坂口有望 『好-じょし-』Music Video - YouTube.mp4	70
/home/pi/Videos/坂口有望/坂口有望 bluesigns short.m4v	坂口有望	-	坂口有望 bluesigns short.m4v	70
/home/pi/Videos/坂口有望/坂口有望 放課後ジャーニー_Short.m4v	坂口有望	-	坂口有望 放課後ジャーニー_Short.m4v	70
/home/pi/Videos/自然/4k 絶景 癒し自然映像 「新緑の上高地 梓川と穂高連峰」5月下旬 信州松本 Japan Kamikochi Natur.m4v	自然	-	4k 絶景 癒し自然映像 「新緑の上高地 梓川と穂高連峰」5月下旬 信州松本 Japan Kamikochi Natur.m4v	70
/home/pi/Videos/自然/Forest - 9796.m4v	自然	-	Forest - 9796.m4v	70
/home/pi/Videos/自然/River - 14205.mp4	自然	-	River - 14205.mp4	70
/home/pi/Videos/自然/Sky.m4v	自然	-	Sky.m4v	70
/home/pi/Videos/自然/Waterfall - 24515.mp4	自然	-	Waterfall - 24515.mp4	70
/home/pi/Videos/飛行機/Blue ImpulseBlueimpulseshort.m4v	飛行機	Blue Impulse	Blueimpulseshort.m4v	100
/home/pi/Videos/飛行機/ロック岩崎PlaneShort.m4v	飛行機	ロック岩崎	PlaneShort.m4v	100
